address,complement,district,city,uf,cep
"Av Gal Edgar Faco, 836",,Vila Arcádia,São Paulo,SP,02924-000
"Rua Serra do Japi, 1249",,Vila Gomes Cardim,São Paulo,SP,03309-001
"Av Dr Guilherme Dumont Villares, 249",,Jardim Londrina,São Paulo,SP,05640-000
"Av Ibirapuera, 2822",,Indianópolis,São Paulo,SP,04028-002
"Av Sumaré, 1421",,Perdizes,São Paulo,SP,05016-110
"Rua Da Gávea, 921",,Vila Maria,São Paulo,SP,02121-020
"Av Ibirapuera, 2771",,Indianápolis,São Paulo,SP,04028-000
"Av Aricanduva, 5555",,Vila Aricanduva,São Paulo,SP,03527-000
"Rua Guerino Giovani Leardini, 346",,Vila Barreto,São Paulo,SP,02937-040
"Av João Dias, 1313",,Santo Amaro,São Paulo,SP,04723-001
"Rua Fernando Sandreschi, 137",,Santana,São Paulo,SP,02013-020
"Av Eng Luís Carlos Berrini, 1919",,Brooklin Novo,São Paulo,SP,04571-000
"Av Braz Leme, 410",,Casa Verde,São Paulo,SP,02511-000
"Av Morumbi, 7554",,Santo Amaro,São Paulo,SP,04703-000
"Av Pres Juscelino Kubitschek, 1593",,Vila Nova Conceição,São Paulo,SP,04543-000
"Av Aricanduva, 5555",,Vila Aricanduva,São Paulo,SP,03527-000
"Av João Dias, 2137",,Santo Amaro,São Paulo,SP,04723-003
"Rod Raposo Tavares, 1",,Jardim Adhemar de Barros,São Paulo,SP,05577-000
"Av Mal Tito, 7003",,Itaim Paulista,São Paulo,SP,08115-100
"Rua Atlântica, 179",,Socorro,São Paulo,SP,04768-000
"Rua Colômbia, 652",,Jardim América,São Paulo,SP,01438-001
"Av Aricanduva, 5555",,Vila Aricanduva,São Paulo,SP,03527-000
"Av Sumaré, 741",,Perdizes,São Paulo,SP,05016-090
"Av Morumbi, 6843",,Morumbi,São Paulo,SP,05650-002
"Av Celso Garcia, 3721",,Tatuapé,São Paulo,SP,03063-000
"Av Prof Francisco Morato, 1092",,Morumbi,São Paulo,SP,05512-100
"Avenida Ibirapuera, 2400",,Indianápolis,São Paulo,SP,04028-000
"Av Dr Gastão Vidigal, 741",,Vila Leopoldina,São Paulo,SP,05314-000
"Pç Paula Moreira, 106",,Instituto de Previdência,São Paulo,SP,05514-010
"Rua Eleonora Cintra, 530",,Jardim Anália Franco,São Paulo,SP,03337-000
"Avenida General Edgar Faco, 1137",,Vila Arcádia,São Paulo,SP,02924-000
"Av Eng Caetano Álvares, 3891",,Imirim,São Paulo,SP,02413-000
"Av Ermano Marchetti, 596",,Água Branca,São Paulo,SP,05038-000
"Av Rio Branco, 1457",,Campos Elíseos,São Paulo,SP,01205-001
"R Dr Jesuíno Maciel, 1050",,Campo Belo,São Paulo,SP,04615-002
"Av Braz Leme, 410",,Casa Verde,São Paulo,SP,02511-000
"Av dos Autonomistas, 1400",,Vila Yara,São Paulo,SP,06020-010
"Av Prof. Luiz Ignácio de Anhaia Mello, 846",,Vila Prudente,São Paulo,SP,03154-000
"Av Luiz Dumont Villares, 650",,Conjunto Hab Bri Faria Lima,São Paulo,SP,02085-100
"Av Prof. Francisco Morato, 1098",,Morumbi,São Paulo,SP,05512-100
"Rua dos Machados, 38",,Vila Guilherme,São Paulo,SP,02052-010
"Av Iraí, 407",,Indianópolis,São Paulo,SP,04082-001
"Rua Azevedo Soares, 1245",,Vila Gomes Cardim,São Paulo,SP,03322-001
"Av Ver José Diniz, 3500",,Santo Amaro,São Paulo,SP,04603-000
"Rua Serra de Botucatu, 2775",,Chácara Califórnia,São Paulo,SP,03417-000
"Rua Bragança Paulista, 1336",,Vila Cruzeiro,São Paulo,SP,04727-002
"Av Eliseu de Almeida, 346",,Instituto de Previdência,São Paulo,SP,05533-000
"Av General Edgar Facó, 848",,Vila Pereira Cerca,São Paulo,SP,02924-400
"Av Francisco Matarazzo, 2000",,Água Branca,São Paulo,SP,05001-200
"Rua R Vergueiro, 5276",,Vila Firmiano Pinto,São Paulo,SP,99999-999
"R Eng Caetano Álvares, 5113",,Santana,São Paulo,SP,00000-000
"Rua Guaicurus, 175",,Água Branca,São Paulo,SP,05033-000
"Av Prof Abraão de Morais, 2250",,Saúde,São Paulo,SP,04123-001
"Av Aricanduva, 5555",,Vila Aricanduva,São Paulo,SP,03527-000
"Rua Maria Cândida, 1195",,Carandiru,São Paulo,SP,02071-010
"Avenida Vereador José Diniz, 3500",,Alto da Boa Vista,São Paulo,SP,04603-000
"Rua Doutor José Maria Whitaker, 521",,Jardim Leonor,São Paulo,SP,05622-001
"Avenida Santo Amaro, 5327",,Santo Amaro,São Paulo,SP,04701-000
"Avenida Doutor Gentil de Moura, 474",,Vila Dom Pedro I,São Paulo,SP,04278-080
"Avenida Giovanni Gronchi, 6761",,Jardim Leonor,São Paulo,SP,05724-005
"Rua Chico Pontes, 827",,Carandiru,São Paulo,SP,02067-002
"Rua Curuçá, 480",,Vila Maria Baixa,São Paulo,SP,02120-000
"Rua Ipanguaçu, 23",,Jardim Ademar,São Paulo,SP,05531-040
"Rua Miguel, 337",,Jardim Novo Pantanal,São Paulo,SP,04472-060
"Avenida Doutor Gentil de Moura, 367",,Vila Dom Pedro I,São Paulo,SP,04278-080
"Av Marginal Direita do Rio Tietê, 700",,Tietê,São Paulo,SP,99999-999
"Av Gal Edgar Faco, 441",,Vila Arcádia,São Paulo,SP,00000-000
